排名,名字,价格,24h,7day,最低价,拥有人数,数量,主页
51,Fidenza by Tyler Hobbs,74.9 ETH,---,+727.14%,75,520,999,https://opensea.io/collection/fidenza-by-tyler-hobbs
52,mcgoblin.wtf,73.66 ETH,+30.73%,-42.07%,0.6,3.8K,7.9K,https://opensea.io/collection/mcgoblinwtf
53,mfers,73.19 ETH,-4.92%,-37.04%,1.43,5.6K,10.0K,https://opensea.io/collection/mfers
54,My Curio Cards,72.16 ETH,+246.02%,+260.04%,0.33,5.0K,30,https://opensea.io/collection/curiocardswrapper
55,Dooplicator,70.41 ETH,+1.43%,+144.14%,2.98,5.4K,9.2K,https://opensea.io/collection/the-dooplicator
56,CryptoPunks V1 (wrapped),69.48 ETH,+156.38%,+24.86%,4.89,707,2.5K,https://opensea.io/collection/official-v1-punks
57,Neo Hunters,"2,447.96 SOL",+259.11%,---,4,2.6K,5.6K,https://opensea.io/collection/neo-hunters
58,Boki,66.8 ETH,+29.75%,-50.38%,0.58,3.5K,7.8K,https://opensea.io/collection/bokinftofficial
59,NFT Worlds,65.17 ETH,+107.57%,+77.02%,3.89,777,10.0K,https://opensea.io/collection/nft-worlds
60,Jenkins the Valet: The Writer's Room,62.53 ETH,+148.94%,+111.40%,1.4,3.0K,6.9K,https://opensea.io/collection/jenkins-the-valet
61,Mutant Grandpa Country Club,59.42 ETH,---,---,0.27,732,949,https://opensea.io/collection/mutantgrandpacountryclub
62,Treeverse,58.39 ETH,+926.52%,+68.12%,---,4.5K,20.3K,https://opensea.io/collection/treeverse
63,BEANZ Official,57.19 ETH,-45.84%,+10.72%,1.09,7.3K,20.0K,https://opensea.io/collection/beanzofficial
64,Time of Roger,57.1 ETH,---,---,60,8,11,https://opensea.io/collection/timeofroger
65,Grifters by XCOPY,55.49 ETH,+141.37%,+257.97%,13.37,516,666,https://opensea.io/collection/grifters-by-xcopy
66,IlluminatiNFT by Truth Labs,55.29 ETH,-58.54%,+6837.39%,0.8,3.8K,8.1K,https://opensea.io/collection/illuminaticollective
67,Chromie Squiggle by Snowfro,53.55 ETH,+60.91%,-7.79%,6.28,2.6K,9.6K,https://opensea.io/collection/chromie-squiggle-by-snowfro
68,Psychedelics Anonymous Genesis,53.23 ETH,-52.52%,+245.87%,2.18,5.8K,9.6K,https://opensea.io/collection/psychedelics-anonymous-genesis
69,CyberKongz,52.99 ETH,---,+314.73%,26.9,433,1.0K,https://opensea.io/collection/cyberkongz
70,THE THIRD ASPECT OF THE NINE,52.95 ETH,+336.30%,+477.81%,0.7,536,729,https://opensea.io/collection/the-third-aspect-of-the-nine
71,Loy City,52.78 ETH,+238.63%,+1141.12%,< 0.01,8,1,https://opensea.io/collection/loy-city
72,HAPE PRIME,52.04 ETH,+205.69%,+26.83%,0.99,4.7K,8.2K,https://opensea.io/collection/hapeprime
73,Wrapped Cryptopunks,51 ETH,---,---,281,52,372,https://opensea.io/collection/wrapped-cryptopunks
74,Welly NFT,50.78 ETH,+622.35%,+583.06%,0.4,1.1K,4.3K,https://opensea.io/collection/wellyfriends-nft
75,BAYC Honorary Members,50 ETH,---,---,200,27,35,https://opensea.io/collection/bayc-honorary-members
76,RTFKT - MNLTH,49.72 ETH,+8.55%,+107.14%,4,3.9K,1,https://opensea.io/collection/rtfkt-mnlth
