排名,名字,价格,24h,7day,最低价,拥有人数,数量,主页
1,Bored Ape Yacht Club,"1,563.86 ETH",-26.08%,+146.06%,86.85,6.4K,10.0K,https://opensea.io/collection/boredapeyachtclub
2,Otherdeed for Otherside,810.53 ETH,-18.94%,+77.64%,2.04,34.4K,100.0K,https://opensea.io/collection/otherdeed
3,Primates,"27,836.05 SOL",+37.70%,---,12.2,5.2K,10.0K,https://opensea.io/collection/primates-solana
4,CryptoPunks,753.69 ETH,-2.86%,+279.12%,---,3.5K,10.0K,https://opensea.io/collection/cryptopunks
5,CLONE X - X TAKASHI MURAKAMI,670.71 ETH,-17.95%,+379.10%,9.73,9.5K,19.3K,https://opensea.io/collection/clonex
6,Lacoste UNDW3 Official,556.23 ETH,+34.96%,---,0.34,8.0K,11.2K,https://opensea.io/collection/lacosteundw3
7,Mutant Ape Yacht Club,481.01 ETH,-50.29%,+180.03%,17.2,13.1K,19.4K,https://opensea.io/collection/mutant-ape-yacht-club
8,Moonbirds,453.17 ETH,-25.13%,+430.04%,19.1,6.6K,10.0K,https://opensea.io/collection/proof-moonbirds
9,Midnight Panthers,"12,659.76 SOL",---,---,2.66,3.4K,7.8K,https://opensea.io/collection/midnight-panthers
10,goblintown.wtf,314.53 ETH,+3.86%,-44.39%,3.14,4.5K,10.0K,https://opensea.io/collection/goblintownwtf
11,pablos.lol,256.74 ETH,+145.32%,-63.40%,0.28,3.9K,10.0K,https://opensea.io/collection/pablos-lol
12,PROOF Collective,238.3 ETH,+297.17%,+240.13%,62,943,1.0K,https://opensea.io/collection/proof-collective
13,ENS: Ethereum Name Service,176.74 ETH,-4.32%,+175.97%,< 0.01,415.1K,1.3M,https://opensea.io/collection/ens
14,LeprechaunTown_WTF,171.18 ETH,+348.23%,---,0.08,3.1K,7.8K,https://opensea.io/collection/leprechauntown-wtf-v2-1
15,Murakami.Flowers Official,163.71 ETH,+17.92%,-8.66%,2.59,5.6K,9.4K,https://opensea.io/collection/murakami-flowers-2022-official
16,CryptoNinja Partners,151.55 ETH,+247.14%,+104.42%,0.42,4.3K,22.2K,https://opensea.io/collection/cryptoninjapartners
17,Okay Bears,"5,243.31 SOL",-6.24%,-22.28%,97,5.2K,10.0K,https://opensea.io/collection/okay-bears
18,VeeFriends,143.47 ETH,+159.43%,+57.32%,7.4,5.2K,10.3K,https://opensea.io/collection/veefriends
19,Doodles,140.76 ETH,-61.63%,+272.79%,10.99,5.1K,10.0K,https://opensea.io/collection/doodles-official
20,BEANZ Official,132.23 ETH,+229.57%,+28.13%,1.1,7.3K,20.0K,https://opensea.io/collection/beanzofficial
21,ShitBeast,132.14 ETH,-36.21%,-40.23%,0.6,3.5K,10.0K,https://opensea.io/collection/shitbeast
22,Art Blocks Curated,131.75 ETH,+14.94%,+100.75%,---,11.7K,57.1K,https://opensea.io/collection/art-blocks
23,Azuki,130.68 ETH,-62.33%,+88.74%,9.98,5.2K,10.0K,https://opensea.io/collection/azuki
24,Town Star,118.77 ETH,+44.96%,-25.54%,< 0.01,50.1K,924,https://opensea.io/collection/town-star
