排名,名字,价格,24h,7day,最低价,拥有人数,数量,主页
25,IlluminatiNFT by Truth Labs,116.16 ETH,+26.12%,+7676.21%,0.82,3.8K,8.1K,https://opensea.io/collection/illuminaticollective
26,RTFKT - CloneX Mintvial,112.72 ETH,+305.61%,+1615.24%,17.42,366,382,https://opensea.io/collection/clonex-mintvial
27,Kuroki Genesis,107.66 ETH,+670.41%,+1436.60%,0.06,2.2K,4.0K,https://opensea.io/collection/kuroki-genesis
28,Gothic Degens,"3,748.96 SOL",+131.43%,+907.10%,4.9,1.5K,4.4K,https://opensea.io/collection/gothic-degens
29,Decentraland,104.36 ETH,-44.51%,+33.73%,2.79,7.3K,97.6K,https://opensea.io/collection/decentraland
30,Psychedelics Anonymous Genesis,101.98 ETH,+159.86%,+164.03%,1.95,5.8K,9.6K,https://opensea.io/collection/psychedelics-anonymous-genesis
31,Bubblegoose Ballers,"3,369.37 SOL",+52.95%,---,14.2,2.9K,7.7K,https://opensea.io/collection/bubblegoose-ballers-solana
32,Bored Ape Kennel Club,94.96 ETH,+5.37%,+146.20%,6,5.5K,9.6K,https://opensea.io/collection/bored-ape-kennel-club
33,Moonbirds Oddities,94.88 ETH,+23.36%,+105.03%,2.7,6.1K,10.0K,https://opensea.io/collection/moonbirds-oddities
34,Just Ape.,"3,308.23 SOL",+112.83%,-84.59%,8,4.6K,10.0K,https://opensea.io/collection/justape-solana
35,The Sandbox,87.31 ETH,+2.82%,+45.93%,1.59,21.3K,142.1K,https://opensea.io/collection/sandbox
36,THE SNKRZ NFT,"398,229.2 KLAY",+56.75%,---,1790,2.6K,10.0K,https://opensea.io/collection/the-snkrz-nft
37,mfers,86.38 ETH,-14.47%,-30.40%,1.38,5.6K,10.0K,https://opensea.io/collection/mfers
38,SPOODEEMOON WTF,82.99 ETH,+48.35%,---,0.02,2.8K,5.8K,https://opensea.io/collection/spoodeemoonwtf
39,Feet And Eyes Guys,82.96 ETH,+6628.56%,---,0.03,8.1K,11.1K,https://opensea.io/collection/feet-and-eyes-guys
40,VeeFriends Series 2,81.53 ETH,-21.05%,+9.47%,0.54,22.8K,54.1K,https://opensea.io/collection/veefriends-series-2
41,pablo.apes,81.18 ETH,+23362.10%,+13913.05%,0.03,3.1K,10.0K,https://opensea.io/collection/pablo-apes
42,Ringers by Dmitri Cherniak,80 ETH,+45.45%,---,44.9,280,1.0K,https://opensea.io/collection/ringers-by-dmitri-cherniak
43,FLUF World,78.13 ETH,+22.10%,+50.89%,2.96,3.6K,10.0K,https://opensea.io/collection/fluf
44,mcgoblin.wtf,77.85 ETH,+15.06%,-53.04%,0.87,3.8K,7.9K,https://opensea.io/collection/mcgoblinwtf
45,TIGER I - autogen,"2,718.48 SOL",---,---,---,---,---,https://opensea.io/collection/tiger-i-autogen
46,Dooplicator,75.42 ETH,-20.21%,+129.68%,3.2,5.4K,9.1K,https://opensea.io/collection/the-dooplicator
47,NoShitZone,74.13 ETH,-60.43%,---,0.55,2.7K,3,https://opensea.io/collection/noshitzone
48,Bulls & Apes Project - Genesis,73.28 ETH,+209.09%,-44.82%,0.4,1.9K,10.0K,https://opensea.io/collection/bullsandapes-genesis
49,Boki,68.44 ETH,-58.46%,-67.37%,0.65,3.5K,7.8K,https://opensea.io/collection/bokinftofficial
50,Apilesofrubbish,68.07 ETH,-69.47%,---,0.07,1.2K,10.0K,https://opensea.io/collection/a-piles-of-rubbish
51,The Parallax Genesis,67.56 ETH,+39.19%,---,0.49,608,777,https://opensea.io/collection/theparallaxgenesis
52,Damien Hirst - The Currency,64.57 ETH,-41.81%,+819.24%,7.44,1.7K,2.3K,https://opensea.io/collection/thecurrency
53,Blocksmith Labs,"2,213.77 SOL",-7.91%,+29.81%,---,2.7K,4.4K,https://opensea.io/collection/blocksmith-labs
54,Shrapnel Operators Collection Mint,61.15 ETH,+403.29%,-9.30%,0.05,1,4,https://opensea.io/collection/shrapnel-operators-collection-mint
55,Meebits,60.74 ETH,-49.26%,+70.36%,3.5,6.6K,20.0K,https://opensea.io/collection/meebits
56,Sad Kittens NFT,"2,050.09 SOL",+103.81%,+2598.63%,7,974,3.3K,https://opensea.io/collection/sadkittensnft
57,Art Blocks Playground,56.26 ETH,+232.11%,+110.64%,---,7.3K,27.7K,https://opensea.io/collection/art-blocks-playground
58,Grifters by XCOPY,56.18 ETH,+183.88%,+237.07%,12.5,516,666,https://opensea.io/collection/grifters-by-xcopy
59,World of Women,55.66 ETH,+19.52%,+105.82%,4,5.5K,10.0K,https://opensea.io/collection/world-of-women-nft
60,Akutars,54.48 ETH,+293.54%,-23.78%,0.83,5.3K,15.0K,https://opensea.io/collection/akutars
61,AneroVerse Official,53.58 ETH,+22.76%,---,0.1,2.3K,4.3K,https://opensea.io/collection/official-aneroverse
62,Meridian by Matt DesLauriers,52.73 ETH,+370.80%,+470.33%,6.39,616,1.0K,https://opensea.io/collection/meridian-by-matt-deslauriers
63,adidas Originals Into the Metaverse,52.18 ETH,-2.70%,+36.49%,1.08,20.8K,2,https://opensea.io/collection/adidasoriginals
64,Mirandus,51.94 ETH,+200.06%,+34.33%,0.08,15.3K,182,https://opensea.io/collection/mirandus
65,Flower Fam - Official,51.58 ETH,+15.03%,+9.90%,0.36,266,7.0K,https://opensea.io/collection/flowerfam-fam-official
66,Joker Charlie Club Genesis,49.91 ETH,+644.93%,-3.06%,1.85,200,555,https://opensea.io/collection/joker-charlie-club-genesis
67,Senzoku,"1,752.19 SOL",---,---,---,425,690,https://opensea.io/collection/senzoku-solana
68,GENWATCH - autogen,"1,739.2 SOL",---,---,---,---,---,https://opensea.io/collection/genwatch-autogen
69,DeGods,"1,712 SOL",-49.05%,+21.40%,---,4.2K,10.0K,https://opensea.io/collection/degods
70,Cool Cats NFT,48.39 ETH,-44.70%,+104.85%,3.6,5.6K,9.9K,https://opensea.io/collection/cool-cats-nft
71,CryptoDickbutts,48.02 ETH,+1162.80%,-12.70%,1.1,1.7K,5.2K,https://opensea.io/collection/cryptodickbutts-s3
72,Rebels - Night Card,47.08 ETH,-8.73%,---,0.33,4.4K,8.6K,https://opensea.io/collection/nightcard
73,RTFKT - MNLTH,45.81 ETH,-14.28%,+232.53%,3.93,3.9K,1,https://opensea.io/collection/rtfkt-mnlth
74,Kirin Kingdom Genesis - autogen,"1,610.4 SOL",+483.67%,+491.96%,---,---,---,https://opensea.io/collection/kirin-kingdom-genesis-autogen
75,Boryoku Dragonz,"1,608.03 SOL",+507.51%,+277.76%,210,553,1.1K,https://opensea.io/collection/boryoku-dragonz
76,Murakami Lucky Cat Coin Bank,45 ETH,-30.03%,---,0.77,5.6K,9.4K,https://opensea.io/collection/murakami-lucky-cat-coin-bank
77,KILLABEARS,43.38 ETH,-3.48%,+9.51%,0.88,1.3K,3.3K,https://opensea.io/collection/killabears
78,DEGEN TOONZ COLLECTION,42.86 ETH,+30.98%,-26.79%,1.04,3.7K,8.9K,https://opensea.io/collection/degentoonz-collection
79,Transdimensional Fox Federation - autogen,"1,504.82 SOL",+395.47%,+267.93%,---,---,---,https://opensea.io/collection/transdimensional-fox-federation-autogen
80,ROTL: Ruler of the Land,42.38 ETH,+157.91%,---,0.07,1.9K,5.0K,https://opensea.io/collection/ruler-of-the-land
81,Psychedelics Anonymous Psilocybin,42.08 ETH,+225.75%,+98.55%,1.32,3.0K,4.5K,https://opensea.io/collection/psychedelics-anonymous-psilocybin
82,Trippin’ Ape Tribe,"1,475.69 SOL",-8.40%,-41.37%,22,8.9K,10.0K,https://opensea.io/collection/trippin-ape-tribe-solana
83,The GODA Mint Pass,41.39 ETH,-48.68%,-25.69%,5.86,728,1.0K,https://opensea.io/collection/goda-mint-pass
84,Karafuru,40.62 ETH,+123.77%,+26.92%,0.69,3.7K,5.6K,https://opensea.io/collection/karafuru
85,Solana Monkey Business,"1,433.44 SOL",+53.47%,+73.66%,184,2.6K,5.0K,https://opensea.io/collection/solana-monkey-business
86,DeadFellaz,40.13 ETH,+36.47%,+74.49%,1.18,6.3K,10.0K,https://opensea.io/collection/deadfellaz
87,Invisible Friends,39.28 ETH,-7.00%,+140.90%,3.06,4.0K,5.0K,https://opensea.io/collection/invisiblefriends
88,RTFKT X NIKE MONOLITH,38.2 ETH,-36.96%,+85.74%,1.98,6.2K,1,https://opensea.io/collection/rtfktmonolith
89,The Seekers,38.15 ETH,+26.18%,-20.00%,0.07,6.3K,47.9K,https://opensea.io/collection/the-seekers
90,Matrix Plus Box V2,37.14 ETH,+169.91%,-50.38%,9,32,99,https://opensea.io/collection/matrix-plus-box-v2
91,Chimpers,36.79 ETH,-45.35%,+1.97%,1.63,2.7K,5.6K,https://opensea.io/collection/chimpersnft
92,Metapac World Access Pass,36.68 ETH,+2652.34%,---,0.05,2.7K,3.1K,https://opensea.io/collection/metapacworldaccesspass
93,Mirror Pass Genesis,36.38 ETH,+283.77%,-43.63%,0.13,3.5K,5.6K,https://opensea.io/collection/mirror-passes
94,We Are All Going to Die,35.9 ETH,-39.45%,-89.63%,0.22,3.0K,6.7K,https://opensea.io/collection/we-are-all-going-to-die
95,The 187 by Truth Labs,33.7 ETH,+32.16%,---,17,149,187,https://opensea.io/collection/the187
96,INKEPASS,33.68 ETH,+1147.87%,---,0.7,681,1.0K,https://opensea.io/collection/inkepass
97,Boss Beauties,33.49 ETH,+275.26%,+25.37%,0.55,5.6K,10.0K,https://opensea.io/collection/bossbeauties
98,Parallel Alpha,32.9 ETH,-6.40%,+721.89%,< 0.01,46.9K,665,https://opensea.io/collection/parallelalpha
99,The Catalina Whale Mixer,"1,104.72 SOL",-51.46%,+108.56%,80,2.0K,5.6K,https://opensea.io/collection/the-catalina-whale-mixer
100,10KTF Gucci Grail,30.88 ETH,+69.05%,+91.03%,1.1,3.1K,4.3K,https://opensea.io/collection/10ktf-gucci-grail
